emp_no,dept_no,,emp_no,vlookup
297532,d007,,,
297532,d009,,,
297533,d008,,,
297534,d006,,,
297535,d004,,,
297536,d001,,,
297537,d009,,,
297538,d004,,,
297539,d005,,,
297540,d007,,,
297541,d004,,,
297541,d005,,,
297542,d008,,,
297543,d005,,,
297544,d004,,,
297545,d005,,,
297546,d005,,,
297547,d005,,,
297548,d008,,,
297549,d005,,,
297550,d005,,,
297550,d008,,,
297551,d005,,,
297552,d007,,,
297553,d009,,,
297554,d006,,,
297555,d004,,,
297556,d009,,,
297557,d006,,,
297558,d005,,,
297559,d001,,,
297560,d004,,,
297560,d008,,,
297561,d004,,,
297562,d005,,,
297563,d003,,,
297564,d005,,,
297565,d005,,,
297566,d004,,,
297567,d007,,,
297568,d007,,,
297569,d004,,,
297570,d004,,,
297570,d005,,,
297571,d002,,,
297572,d007,,,
297573,d007,,,
297574,d005,,,
297575,d005,,,
297576,d006,,,
297577,d002,,,
297578,d009,,,
297579,d002,,,
297580,d007,,,
297581,d001,,,
297581,d007,,,
297582,d007,,,
297583,d002,,,
297584,d004,,,
297585,d004,,,
297586,d003,,,
297587,d005,,,
297588,d003,,,
297589,d009,,,
297590,d005,,,
297591,d004,,,
297591,d006,,,
297592,d007,,,
297593,d005,,,
297594,d007,,,
297595,d001,,,
297596,d005,,,
297597,d007,,,
297598,d004,,,
297599,d005,,,
297600,d007,,,
297601,d002,,,
297602,d005,,,
297602,d009,,,
297603,d005,,,
297604,d004,,,
297605,d004,,,
297606,d008,,,
297607,d007,,,
297608,d002,,,
297609,d005,,,
297610,d005,,,
297611,d005,,,
297612,d004,,,
297612,d005,,,
297613,d002,,,
297614,d007,,,
297615,d004,,,
297616,d003,,,
297617,d004,,,
297618,d005,,,
297619,d009,,,
297620,d004,,,
297621,d006,,,
297622,d001,,,
297623,d001,,,
297623,d007,,,
297624,d004,,,
297625,d005,,,
297626,d005,,,
297627,d005,,,
297628,d003,,,
297629,d008,,,
297630,d005,,,
297631,d008,,,
297632,d004,,,
297633,d008,,,
297634,d004,,,
297634,d005,,,
297635,d007,,,
297636,d005,,,
297637,d007,,,
297638,d004,,,
297639,d004,,,
297640,d005,,,
297641,d001,,,
297642,d001,,,
297642,d007,,,
297643,d008,,,
297644,d004,,,
297645,d004,,,
297646,d005,,,
297647,d005,,,
297648,d003,,,
297649,d004,,,
297650,d005,,,
297650,d009,,,
297651,d005,,,
297652,d004,,,
297653,d005,,,
297654,d004,,,
297655,d006,,,
297656,d001,,,
297657,d007,,,
297658,d003,,,
297659,d007,,,
297659,d009,,,
297660,d005,,,
297661,d002,,,
297662,d005,,,
297663,d004,,,
297664,d005,,,
297665,d003,,,
297666,d007,,,
297667,d004,,,
297668,d005,,,
297669,d007,,,
297670,d005,,,
297670,d008,,,
297671,d007,,,
297672,d003,,,
297673,d005,,,
297674,d005,,,
297675,d007,,,
297676,d007,,,
297677,d005,,,
297678,d008,,,
297679,d004,,,
297680,d007,,,
297680,d009,,,
297681,d006,,,
297682,d007,,,
297683,d007,,,
297684,d007,,,
297685,d005,,,
297686,d004,,,
297687,d004,,,
297688,d002,,,
297689,d006,,,
297690,d007,,,
297691,d004,,,
297691,d009,,,
297692,d002,,,
297693,d004,,,
297694,d005,,,
297695,d005,,,
297696,d004,,,
297697,d007,,,
297698,d005,,,
297699,d005,,,
297700,d004,,,
297701,d008,,,
297702,d004,,,
297702,d006,,,
297703,d008,,,
297704,d004,,,
297705,d003,,,
297706,d001,,,
297707,d002,,,
297708,d004,,,
297709,d003,,,
297710,d003,,,
297711,d005,,,
297712,d004,,,
297712,d006,,,
297713,d005,,,
297714,d005,,,
297715,d004,,,
297716,d007,,,
297717,d007,,,
297718,d005,,,
297719,d003,,,
297720,d007,,,
297720,d009,,,
297721,d005,,,
297722,d009,,,
297723,d009,,,
297724,d006,,,
297725,d005,,,
297726,d004,,,
297727,d007,,,
297728,d005,,,
297729,d009,,,
297730,d004,,,
297730,d006,,,
297731,d005,,,
297732,d003,,,
297733,d006,,,
297734,d007,,,
297735,d009,,,
297736,d009,,,
297737,d001,,,
297738,d005,,,
297739,d004,,,
297739,d008,,,
297740,d007,,,
297741,d004,,,
297742,d006,,,
297743,d007,,,
297744,d009,,,
297745,d005,,,
297746,d003,,,
297747,d004,,,
297748,d004,,,
297748,d009,,,
297749,d003,,,
297750,d006,,,
297751,d004,,,
297752,d004,,,
297753,d007,,,
297754,d008,,,
297755,d004,,,
297756,d005,,,
297757,d004,,,
297757,d006,,,
297758,d007,,,
297759,d007,,,
297760,d004,,,
297761,d004,,,
297762,d001,,,
297763,d007,,,
297764,d003,,,
297765,d004,,,
297765,d006,,,
297766,d004,,,
297767,d003,,,
297768,d005,,,
297769,d005,,,
297770,d003,,,
297771,d003,,,
297772,d009,,,
297773,d005,,,
297774,d007,,,
297775,d004,,,
297776,d002,,,
297776,d003,,,
297777,d002,,,
297778,d007,,,
297779,d007,,,
297780,d004,,,
297781,d005,,,
297782,d004,,,
297783,d005,,,
297784,d003,,,
297785,d005,,,
297786,d004,,,
297786,d006,,,
297787,d008,,,
297788,d005,,,
297789,d003,,,
297790,d006,,,
297791,d009,,,
297792,d007,,,
297793,d003,,,
297794,d004,,,
297795,d007,,,
297796,d004,,,
297796,d006,,,
297797,d002,,,
297798,d005,,,
297799,d003,,,
297800,d007,,,
297801,d007,,,
297802,d006,,,
297803,d004,,,
297804,d006,,,
297805,d007,,,
297806,d004,,,
297806,d009,,,
297807,d003,,,
297808,d001,,,
297809,d001,,,
297810,d002,,,
297811,d004,,,
297812,d005,,,
297813,d005,,,
297814,d003,,,
297815,d004,,,
297816,d004,,,
297816,d006,,,
297817,d009,,,
297818,d008,,,
297819,d004,,,
297820,d008,,,
297821,d004,,,
297822,d005,,,
297823,d007,,,
297824,d004,,,
297825,d003,,,
297826,d001,,,
297826,d003,,,
297827,d007,,,
297828,d007,,,
297829,d004,,,
297830,d005,,,
297831,d005,,,
297832,d004,,,
297833,d008,,,
297834,d001,,,
297835,d001,,,
297835,d007,,,
297836,d004,,,
297837,d002,,,
297838,d003,,,
297839,d002,,,
297840,d007,,,
297841,d004,,,
297842,d002,,,
297843,d007,,,
297844,d004,,,
297844,d009,,,
297845,d002,,,
297846,d004,,,
297847,d009,,,
297848,d005,,,
297849,d005,,,
297850,d005,,,
297851,d005,,,
297852,d005,,,
297853,d004,,,
297853,d005,,,
297854,d002,,,
297855,d005,,,
297856,d007,,,
297857,d002,,,
297858,d005,,,
297859,d003,,,
297860,d008,,,
297861,d005,,,
297862,d008,,,
297863,d003,,,
297864,d007,,,
297864,d009,,,
297865,d002,,,
297866,d004,,,
297867,d007,,,
297868,d007,,,
297869,d004,,,
297870,d008,,,
297871,d004,,,
297872,d009,,,
297873,d006,,,
297874,d004,,,
297874,d006,,,
297875,d006,,,
297876,d005,,,
297877,d004,,,
297878,d009,,,
297879,d005,,,
297880,d005,,,
297881,d004,,,
297882,d007,,,
297883,d002,,,
297883,d007,,,
297884,d008,,,
297885,d005,,,
297886,d009,,,
297887,d008,,,
297888,d005,,,
297889,d009,,,
297890,d007,,,
297891,d004,,,
297891,d009,,,
297892,d005,,,
297893,d007,,,
297894,d009,,,
297895,d007,,,
297896,d005,,,
297897,d005,,,
297898,d007,,,
297899,d006,,,
297900,d002,,,
297901,d004,,,
297902,d004,,,
297902,d006,,,
297903,d004,,,
297904,d004,,,
297905,d005,,,
297906,d004,,,
297907,d004,,,
297908,d007,,,
297909,d003,,,
297910,d005,,,
297911,d001,,,
297911,d007,,,
297912,d005,,,
297913,d004,,,
297914,d004,,,
297915,d001,,,
297916,d008,,,
297917,d005,,,
297918,d005,,,
297919,d007,,,
297920,d001,,,
297920,d003,,,
297921,d004,,,
297922,d008,,,
297923,d001,,,
297924,d004,,,
297925,d007,,,
297926,d003,,,
297927,d005,,,
297928,d005,,,
297929,d009,,,
297930,d001,,,
297930,d003,,,
297931,d004,,,
297932,d007,,,
297933,d005,,,
297934,d001,,,
297935,d005,,,
297936,d008,,,
297937,d005,,,
297938,d007,,,
297939,d004,,,
297939,d006,,,
297940,d005,,,
297941,d003,,,
297942,d003,,,
297943,d005,,,
297944,d003,,,
297945,d005,,,
297946,d001,,,
297947,d003,,,
297948,d004,,,
297949,d004,,,
297949,d005,,,
297950,d009,,,
297951,d005,,,
297952,d005,,,
297953,d005,,,
297954,d004,,,
297955,d008,,,
297956,d001,,,
297957,d005,,,
297958,d005,,,
297959,d007,,,
297959,d009,,,
297960,d007,,,
297961,d005,,,
297962,d001,,,
297963,d004,,,
297964,d005,,,
297965,d003,,,
297966,d002,,,
297967,d005,,,
297968,d005,,,
297969,d004,,,
297969,d005,,,
297970,d007,,,
297971,d003,,,
297972,d005,,,
297973,d005,,,
297974,d007,,,
297975,d005,,,
297976,d005,,,
297977,d001,,,
297978,d005,,,
297978,d008,,,
297979,d003,,,
297980,d005,,,
297981,d006,,,
297982,d005,,,
297983,d002,,,
297984,d005,,,
297985,d005,,,
297986,d005,,,
297987,d005,,,
297988,d003,,,
297989,d005,,,
297989,d008,,,
297990,d005,,,
297991,d005,,,
297992,d002,,,
297993,d005,,,
297994,d007,,,
297995,d006,,,
297996,d009,,,
297997,d007,,,
297998,d007,,,
297998,d009,,,
297999,d001,,,
298000,d009,,,
298001,d005,,,
298002,d004,,,
298003,d005,,,
298004,d009,,,
298005,d001,,,
298006,d004,,,
298006,d005,,,
298007,d004,,,
298008,d002,,,
298009,d002,,,
298010,d005,,,
298011,d005,,,
298012,d001,,,
298013,d003,,,
298014,d003,,,
298015,d005,,,
298015,d008,,,
298016,d007,,,
298017,d005,,,
298018,d005,,,
298019,d007,,,
298020,d009,,,
298021,d004,,,
298022,d001,,,
298023,d005,,,
298024,d004,,,
298024,d006,,,
298025,d007,,,
298026,d009,,,
298027,d007,,,
298028,d007,,,
298029,d006,,,
298030,d004,,,
298031,d009,,,
298032,d004,,,
298032,d006,,,
298033,d007,,,
298034,d008,,,
298035,d009,,,
298036,d005,,,
298037,d007,,,
298038,d005,,,
298039,d004,,,
298040,d007,,,
298041,d001,,,
298041,d007,,,
298042,d005,,,
298043,d001,,,
298044,d007,,,
298045,d005,,,
298046,d004,,,
298047,d001,,,
298048,d008,,,
298049,d004,,,
298050,d005,,,
298051,d005,,,
298052,d007,,,
298052,d009,,,
298053,d007,,,
298054,d004,,,
298055,d002,,,
298056,d009,,,
298057,d005,,,
298058,d007,,,
298059,d005,,,
298060,d004,,,
298060,d006,,,
298061,d004,,,
298062,d003,,,
298063,d008,,,
298064,d004,,,
298065,d003,,,
298066,d009,,,
298067,d002,,,
298068,d005,,,
298069,d003,,,
298070,d004,,,
298070,d008,,,
298071,d005,,,
298072,d004,,,
298073,d004,,,
298074,d004,,,
298075,d005,,,
298076,d005,,,
298077,d007,,,
298078,d001,,,
298079,d004,,,
298079,d005,,,
298080,d005,,,
298081,d007,,,
298082,d001,,,
298083,d003,,,
298084,d007,,,
298085,d004,,,
298086,d003,,,
298087,d005,,,
298088,d004,,,
298089,d004,,,
298089,d005,,,
298090,d007,,,
298091,d001,,,
298092,d009,,,
298093,d007,,,
298094,d009,,,
298095,d009,,,
298096,d004,,,
298097,d001,,,
298098,d002,,,
298099,d004,,,
298099,d006,,,
298100,d005,,,
298101,d009,,,
298102,d005,,,
298103,d005,,,
298104,d006,,,
298105,d004,,,
298106,d004,,,
298107,d007,,,
298108,d007,,,
298108,d009,,,
298109,d009,,,
298110,d005,,,
298111,d007,,,
298112,d005,,,
298113,d006,,,
298114,d005,,,
298115,d005,,,
298116,d009,,,
298117,d007,,,
298118,d002,,,
298118,d003,,,
298119,d005,,,
298120,d007,,,
298121,d002,,,
298122,d003,,,
298123,d005,,,
298124,d009,,,
298125,d004,,,
298126,d005,,,
298127,d008,,,
298128,d001,,,
298128,d007,,,
298129,d005,,,
298130,d007,,,
298131,d008,,,
298132,d007,,,
298133,d005,,,
298134,d004,,,
298135,d008,,,
298136,d007,,,
298137,d007,,,
298138,d007,,,
298139,d001,,,
298139,d007,,,
298140,d005,,,
298141,d004,,,
298142,d003,,,
298143,d003,,,
298144,d002,,,
298145,d007,,,
298146,d005,,,
298147,d001,,,
298148,d005,,,
298149,d001,,,
298149,d007,,,
298150,d002,,,
298151,d005,,,
298152,d007,,,
298153,d009,,,
298154,d005,,,
298155,d005,,,
298156,d005,,,
298157,d004,,,
298157,d005,,,
298158,d001,,,
298159,d005,,,
298160,d004,,,
298161,d003,,,
298162,d005,,,
298163,d004,,,
298164,d004,,,
298165,d009,,,
298166,d002,,,
298166,d003,,,
298167,d009,,,
298168,d005,,,
298169,d004,,,
298170,d007,,,
298171,d003,,,
298172,d008,,,
298173,d004,,,
298174,d002,,,
298175,d009,,,
298176,d004,,,
298176,d009,,,
298177,d002,,,
298178,d005,,,
298179,d004,,,
298180,d007,,,
298181,d004,,,
298182,d004,,,
298183,d003,,,
298184,d009,,,
298185,d008,,,
298186,d001,,,
298186,d007,,,
298187,d005,,,
298188,d005,,,
298189,d007,,,
298190,d004,,,
298191,d009,,,
298192,d007,,,
298193,d007,,,
298194,d002,,,
298194,d007,,,
298195,d004,,,
298196,d005,,,
298197,d005,,,
298198,d005,,,
298199,d005,,,
298200,d007,,,
298201,d005,,,
298202,d004,,,
298203,d006,,,
298204,d004,,,
298204,d006,,,
298205,d009,,,
298206,d005,,,
298207,d005,,,
298208,d007,,,
298209,d004,,,
298210,d005,,,
298211,d001,,,
298212,d008,,,
298213,d009,,,
298214,d002,,,
298215,d005,,,
298215,d009,,,
298216,d008,,,
298217,d003,,,
298218,d005,,,
298219,d005,,,
298220,d006,,,
298221,d009,,,
298222,d009,,,
298223,d004,,,
298223,d005,,,
298224,d007,,,
298225,d006,,,
298226,d005,,,
298227,d007,,,
298228,d005,,,
298229,d004,,,
298230,d002,,,
298231,d005,,,
298232,d005,,,
298232,d008,,,
298233,d009,,,
298234,d004,,,
298235,d005,,,
298236,d003,,,
298237,d005,,,
298238,d007,,,
298239,d007,,,
298240,d004,,,
298240,d006,,,
298241,d004,,,
298242,d008,,,
298243,d007,,,
298244,d005,,,
298245,d004,,,
298246,d002,,,
298247,d007,,,
298248,d001,,,
298249,d005,,,
298250,d004,,,
298250,d005,,,
298251,d007,,,
298252,d007,,,
298253,d005,,,
298254,d002,,,
298255,d008,,,
298256,d004,,,
298257,d002,,,
298258,d008,,,
298259,d004,,,
298260,d005,,,
298260,d008,,,
298261,d004,,,
298262,d003,,,
298263,d005,,,
298264,d007,,,
298265,d004,,,
298266,d005,,,
298267,d004,,,
298268,d004,,,
298268,d005,,,
298269,d003,,,
298270,d003,,,
298271,d005,,,
298272,d006,,,
298273,d005,,,
298274,d002,,,
298275,d007,,,
298276,d005,,,
298277,d007,,,
298277,d009,,,
298278,d003,,,
298279,d007,,,
298280,d005,,,
298281,d006,,,
298282,d006,,,
298283,d005,,,
298284,d004,,,
298285,d005,,,
298286,d007,,,
298286,d009,,,
298287,d004,,,
298288,d005,,,
298289,d008,,,
298290,d004,,,
298291,d001,,,
298292,d001,,,
298293,d004,,,
298294,d005,,,
298295,d007,,,
298295,d009,,,
298296,d005,,,
298297,d007,,,
298298,d008,,,
298299,d007,,,
298300,d007,,,
298301,d005,,,
298302,d007,,,
298303,d005,,,
298304,d002,,,
298304,d003,,,
298305,d007,,,
298306,d004,,,
298307,d007,,,
298308,d005,,,
298309,d005,,,
298310,d007,,,
298311,d004,,,
298312,d009,,,
298313,d005,,,
298314,d005,,,
298315,d004,,,
298315,d009,,,
298316,d003,,,
298317,d005,,,
298318,d005,,,
298319,d005,,,
298320,d003,,,
298321,d007,,,
298322,d004,,,
298323,d008,,,
298324,d005,,,
298324,d006,,,
298325,d005,,,
298326,d001,,,
298327,d004,,,
298328,d005,,,
298329,d002,,,
298330,d005,,,
298331,d005,,,
298332,d003,,,
298333,d007,,,
298334,d001,,,
298334,d003,,,
298335,d005,,,
298336,d004,,,
298337,d002,,,
298338,d005,,,
298339,d005,,,
298340,d005,,,
298341,d007,,,
298342,d004,,,
298342,d009,,,
298343,d005,,,
298344,d004,,,
298345,d005,,,
298346,d002,,,
298347,d005,,,
298348,d004,,,
298349,d009,,,
298350,d007,,,
298351,d004,,,
298351,d005,,,
298352,d004,,,
298353,d009,,,
298354,d007,,,
298355,d008,,,
298356,d005,,,
298357,d004,,,
298358,d005,,,
298359,d009,,,
298360,d002,,,
298360,d007,,,
298361,d007,,,
298362,d005,,,
298363,d004,,,
298364,d006,,,
298365,d004,,,
298366,d005,,,
298367,d005,,,
298368,d007,,,
298369,d004,,,
298369,d005,,,
298370,d007,,,
298371,d009,,,
298372,d004,,,
298373,d004,,,
298374,d008,,,
298375,d006,,,
298376,d004,,,
298377,d007,,,
298378,d004,,,
298378,d005,,,
298379,d001,,,
298380,d008,,,
298381,d004,,,
298382,d001,,,
298383,d004,,,
298384,d008,,,
298385,d004,,,
298386,d004,,,
298386,d006,,,
298387,d005,,,
298388,d009,,,
298389,d008,,,
298390,d007,,,
298391,d004,,,
298392,d008,,,
298393,d005,,,
298394,d002,,,
298394,d003,,,
298395,d005,,,
298396,d005,,,
298397,d008,,,
298398,d003,,,
298399,d006,,,
298400,d005,,,
298401,d006,,,
298402,d004,,,
298403,d004,,,
298403,d009,,,
298404,d005,,,
298405,d003,,,
298406,d005,,,
298407,d007,,,
298408,d005,,,
298409,d007,,,
298410,d007,,,
298411,d004,,,
298412,d004,,,
298412,d006,,,
298413,d005,,,
298414,d004,,,
298415,d004,,,
298416,d004,,,
298417,d009,,,
298418,d005,,,
298419,d005,,,
298420,d001,,,
298421,d001,,,
298422,d004,,,
298422,d009,,,
298423,d004,,,
298424,d009,,,
298425,d009,,,
298426,d009,,,
298427,d007,,,
298428,d005,,,
298429,d007,,,
298430,d004,,,
298431,d001,,,
298431,d007,,,
298432,d005,,,
298433,d005,,,
298434,d001,,,
298435,d008,,,
298436,d007,,,
298437,d001,,,
298438,d004,,,
298439,d007,,,
298439,d009,,,
298440,d003,,,
298441,d008,,,
298442,d006,,,
298443,d005,,,
298444,d005,,,
298445,d004,,,
298446,d005,,,
298447,d001,,,
298448,d007,,,
298449,d005,,,
298449,d006,,,
298450,d008,,,
298451,d004,,,
298452,d004,,,
298453,d009,,,
298454,d004,,,
298455,d002,,,
298456,d002,,,
298457,d007,,,
298458,d001,,,
298458,d007,,,
298459,d004,,,
298460,d003,,,
298461,d004,,,
298462,d005,,,
298463,d007,,,
298464,d003,,,
298465,d006,,,
298466,d007,,,
298467,d004,,,
298467,d005,,,
298468,d004,,,
298469,d006,,,
298470,d001,,,
298471,d001,,,
298472,d005,,,
298473,d007,,,
298474,d008,,,
298475,d004,,,
298476,d005,,,
298476,d008,,,
298477,d005,,,
298478,d007,,,
298479,d001,,,
298480,d005,,,
298481,d002,,,
298482,d004,,,
298483,d005,,,
298484,d009,,,
298485,d005,,,
298485,d009,,,
298486,d005,,,
298487,d004,,,
298488,d004,,,
298489,d007,,,
298490,d004,,,
298491,d005,,,
298492,d005,,,
298493,d005,,,
298493,d008,,,
298494,d004,,,
298495,d009,,,
298496,d005,,,
298497,d001,,,
298498,d007,,,
298499,d005,,,
298500,d002,,,
298501,d004,,,
298501,d009,,,
298502,d007,,,
298503,d008,,,
298504,d005,,,
298505,d009,,,
298506,d005,,,
298507,d005,,,
298508,d008,,,
298509,d001,,,
298510,d004,,,
298511,d005,,,
298512,d001,,,
298512,d007,,,
298513,d005,,,
298514,d003,,,
298515,d006,,,
298516,d003,,,
298517,d006,,,
298518,d004,,,
298519,d008,,,
298520,d005,,,
298521,d006,,,
298522,d005,,,
298523,d004,,,
298523,d006,,,
298524,d002,,,
298525,d009,,,
298526,d005,,,
298527,d002,,,
298528,d007,,,
298529,d003,,,
298530,d005,,,
298531,d005,,,
298532,d005,,,
298533,d004,,,
298533,d008,,,
298534,d006,,,
298535,d005,,,
298536,d004,,,
298537,d007,,,
298538,d004,,,
298539,d005,,,
298540,d004,,,
298541,d005,,,
298542,d003,,,
298543,d004,,,
298543,d009,,,
298544,d005,,,
298545,d006,,,
298546,d006,,,
298547,d006,,,
298548,d007,,,
298549,d003,,,
298550,d009,,,
298551,d003,,,
298552,d004,,,
298552,d006,,,
298553,d009,,,
298554,d008,,,
298555,d005,,,
298556,d001,,,
298557,d007,,,
298558,d007,,,
298559,d007,,,
298560,d006,,,
298561,d007,,,
298562,d005,,,
298562,d008,,,
298563,d004,,,
298564,d005,,,
298565,d001,,,
298566,d004,,,
298567,d005,,,
298568,d005,,,
298569,d005,,,
298570,d005,,,
298571,d007,,,
298572,d004,,,
298573,d007,,,
298573,d009,,,
298574,d004,,,
298575,d009,,,
298576,d005,,,
298577,d002,,,
298578,d004,,,
298579,d005,,,
298580,d006,,,
298581,d001,,,
298581,d007,,,
298582,d004,,,
298583,d004,,,
298584,d005,,,
298585,d004,,,
298586,d005,,,
298587,d002,,,
298588,d004,,,
298589,d004,,,
298590,d001,,,
298590,d007,,,
298591,d004,,,
298592,d005,,,
298593,d004,,,
298594,d001,,,
298595,d005,,,
298596,d004,,,
298597,d002,,,
298598,d007,,,
298599,d001,,,
298599,d007,,,
298600,d004,,,
298601,d003,,,
298602,d001,,,
298603,d004,,,
298604,d005,,,
298605,d005,,,
298606,d004,,,
298607,d004,,,
298607,d005,,,
298608,d005,,,
298609,d004,,,
298610,d005,,,
298611,d008,,,
298612,d001,,,
298613,d005,,,
298614,d005,,,
298615,d001,,,
298615,d007,,,
298616,d001,,,
298617,d009,,,
298618,d005,,,
298619,d007,,,
298620,d005,,,
298621,d007,,,
298622,d006,,,
298623,d004,,,
298623,d009,,,
298624,d007,,,
298625,d004,,,
298626,d004,,,
298627,d008,,,
298628,d009,,,
298629,d005,,,
298630,d004,,,
298631,d004,,,
298632,d004,,,
298632,d005,,,
298633,d005,,,
298634,d008,,,
298635,d005,,,
298636,d005,,,
298637,d003,,,
298638,d004,,,
298639,d006,,,
298640,d005,,,
298641,d005,,,
298642,d003,,,
298643,d001,,,
298643,d007,,,
298644,d005,,,
298645,d009,,,
298646,d004,,,
298647,d005,,,
298648,d005,,,
298649,d005,,,
298650,d007,,,
298651,d007,,,
298651,d009,,,
298652,d004,,,
298653,d004,,,
298654,d008,,,
298655,d005,,,
298656,d008,,,
298657,d004,,,
298658,d004,,,
298659,d007,,,
298660,d005,,,
298661,d004,,,
298661,d005,,,
298662,d004,,,
298663,d005,,,
298664,d004,,,
298665,d009,,,
298666,d004,,,
298667,d008,,,
298668,d004,,,
298669,d005,,,
298670,d004,,,
298670,d005,,,
298671,d005,,,
298672,d003,,,
298673,d008,,,
298674,d004,,,
298675,d005,,,
298676,d007,,,
298677,d004,,,
298678,d008,,,
298679,d002,,,
298679,d003,,,
298680,d005,,,
298681,d005,,,
298682,d007,,,
298683,d004,,,
298684,d004,,,
298685,d009,,,
298686,d009,,,
298687,d005,,,
298688,d001,,,
298688,d003,,,
298689,d004,,,
298690,d008,,,
298691,d007,,,
298692,d008,,,
298693,d005,,,
298694,d005,,,
298695,d007,,,
298696,d003,,,
298697,d002,,,
298698,d004,,,
298698,d006,,,
298699,d001,,,
298700,d007,,,
298701,d005,,,
298702,d005,,,
298703,d005,,,
298704,d007,,,
298705,d008,,,
298706,d007,,,
298707,d004,,,
298708,d004,,,
298708,d006,,,
298709,d008,,,
298710,d004,,,
298711,d004,,,
298712,d005,,,
298713,d004,,,
298714,d001,,,
298715,d005,,,
298716,d001,,,
298716,d007,,,
298717,d004,,,
298718,d005,,,
298719,d006,,,
298720,d007,,,
298721,d007,,,
298722,d007,,,
298723,d004,,,
298724,d005,,,
298725,d005,,,
298726,d005,,,
298727,d005,,,
298727,d008,,,
298728,d007,,,
298729,d004,,,
298730,d003,,,
298731,d001,,,
298732,d003,,,
298733,d006,,,
298734,d004,,,
298735,d004,,,
298735,d009,,,
298736,d005,,,
298737,d007,,,
298738,d007,,,
298739,d005,,,
298740,d004,,,
298741,d001,,,
298742,d007,,,
298743,d005,,,
298744,d004,,,
298745,d004,,,
298745,d005,,,
298746,d005,,,
298747,d004,,,
298748,d008,,,
298749,d004,,,
298750,d007,,,
298751,d004,,,
298752,d005,,,
298753,d005,,,
298754,d004,,,
298754,d009,,,
298755,d004,,,
298756,d001,,,
298757,d003,,,
298758,d007,,,
298759,d007,,,
298760,d007,,,
298761,d007,,,
298762,d003,,,
298763,d001,,,
298763,d009,,,
298764,d005,,,
298765,d005,,,
298766,d004,,,
298767,d007,,,
298768,d005,,,
298769,d001,,,
298770,d005,,,
298771,d004,,,
298772,d001,,,
298772,d007,,,
298773,d005,,,
298774,d009,,,
298775,d004,,,
298776,d009,,,
298777,d005,,,
298778,d004,,,
298779,d001,,,
298780,d002,,,
298781,d005,,,
298782,d004,,,
298782,d009,,,
298783,d009,,,
298784,d007,,,
298785,d001,,,
298786,d008,,,
298787,d007,,,
298788,d006,,,
298789,d004,,,
298790,d005,,,
298791,d003,,,
298792,d004,,,
298792,d006,,,
298793,d004,,,
298794,d007,,,
298795,d005,,,
298796,d005,,,
298797,d004,,,
298798,d007,,,
298799,d004,,,
298800,d002,,,
298800,d003,,,
298801,d009,,,
298802,d007,,,
298803,d007,,,
298804,d006,,,
298805,d002,,,
298806,d005,,,
298807,d004,,,
298808,d003,,,
298809,d001,,,
298809,d003,,,
298810,d005,,,
298811,d002,,,
298812,d007,,,
298813,d005,,,
298814,d005,,,
298815,d005,,,
298816,d007,,,
298817,d005,,,
298818,d007,,,
298819,d004,,,
298820,d005,,,
298820,d008,,,
298821,d007,,,
298822,d008,,,
298823,d007,,,
298824,d004,,,
298825,d001,,,
298826,d007,,,
298827,d004,,,
298828,d005,,,
298829,d005,,,
298830,d004,,,
298831,d005,,,
298831,d008,,,
298832,d005,,,
298833,d004,,,
298834,d007,,,
298835,d005,,,
298836,d008,,,
298837,d005,,,
298838,d005,,,
298839,d005,,,
298840,d001,,,
298840,d007,,,
298841,d005,,,
298842,d005,,,
298843,d005,,,
298844,d004,,,
298845,d005,,,
298846,d005,,,
298847,d005,,,
298848,d003,,,
298849,d005,,,
298850,d004,,,
298850,d005,,,
298851,d005,,,
298852,d005,,,
298853,d005,,,
298854,d006,,,
298855,d001,,,
298856,d001,,,
298857,d009,,,
298858,d004,,,
298859,d007,,,
298860,d004,,,
298861,d005,,,
298861,d008,,,
298862,d005,,,
298863,d003,,,
298864,d005,,,
298865,d007,,,
298866,d005,,,
298867,d006,,,
298868,d008,,,
298869,d006,,,
298870,d004,,,
298870,d006,,,
298871,d006,,,
298872,d005,,,
298873,d008,,,
298874,d002,,,
298875,d004,,,
298876,d002,,,
298877,d004,,,
298878,d004,,,
298879,d001,,,
298879,d007,,,
298880,d005,,,
298881,d005,,,
298882,d005,,,
298883,d005,,,
298884,d002,,,
298885,d005,,,
298886,d005,,,
298887,d005,,,
298888,d007,,,
298889,d005,,,
298889,d008,,,
298890,d005,,,
298891,d008,,,
298892,d007,,,
298893,d002,,,
298894,d005,,,
298895,d004,,,
298896,d009,,,
298897,d005,,,
298898,d004,,,
298898,d009,,,
298899,d003,,,
298900,d003,,,
298901,d004,,,
298902,d005,,,
298903,d005,,,
298904,d004,,,
298905,d005,,,
298906,d004,,,
298907,d006,,,
298908,d004,,,
298908,d008,,,
298909,d004,,,
298910,d005,,,
298911,d005,,,
298912,d005,,,
298913,d001,,,
298914,d009,,,
298915,d005,,,
298916,d004,,,
298917,d004,,,
298918,d004,,,
298919,d004,,,
298919,d005,,,
298920,d007,,,
298921,d007,,,
298922,d001,,,
298923,d005,,,
298924,d005,,,
298925,d002,,,
298926,d005,,,
298927,d005,,,
298928,d002,,,
298928,d003,,,
298929,d005,,,
298930,d005,,,
298931,d002,,,
298932,d009,,,
298933,d005,,,
298934,d006,,,
298935,d003,,,
